,name,type,value,date
11360,Nastase,9,0,1974-09-27
11813,Vilas,10,0,1974-09-27
11553,Connors,1,0,1974-11-06
11504,Newcombe,2,0,1974-11-06
11457,Laver,3,0,1974-11-06
11792,Borg,4,0,1974-11-06
11530,Okker,5,0,1974-11-06
11361,Nastase,6,0,1974-11-06
11412,Smith,7,0,1974-11-06
11431,Ashe,8,0,1974-11-06
11814,Vilas,9,0,1974-11-06
11479,Rosewall,10,0,1974-11-06
11554,Connors,1,0,1974-12-20
11505,Newcombe,2,0,1974-12-20
11793,Borg,3,0,1974-12-20
11458,Laver,4,0,1974-12-20
11815,Vilas,5,0,1974-12-20
11531,Okker,6,0,1974-12-20
11432,Ashe,7,0,1974-12-20
11413,Smith,8,0,1974-12-20
11480,Rosewall,9,0,1974-12-20
11362,Nastase,10,0,1974-12-20
11555,Connors,1,0,1975-01-17
11506,Newcombe,2,0,1975-01-17
11794,Borg,3,0,1975-01-17
11459,Laver,4,0,1975-01-17
11816,Vilas,5,0,1975-01-17
11532,Okker,6,0,1975-01-17
11433,Ashe,7,0,1975-01-17
11481,Rosewall,8,0,1975-01-17
11414,Smith,9,0,1975-01-17
11363,Nastase,10,0,1975-01-17
11556,Connors,1,0,1975-03-05
11507,Newcombe,2,0,1975-03-05
11795,Borg,3,0,1975-03-05
11460,Laver,4,0,1975-03-05
11817,Vilas,5,0,1975-03-05
11482,Rosewall,6,0,1975-03-05
11434,Ashe,7,0,1975-03-05
11533,Okker,8,0,1975-03-05
11364,Nastase,9,0,1975-03-05
11415,Smith,10,0,1975-03-05
11557,Connors,1,0,1975-04-08
11796,Borg,2,0,1975-04-08
11461,Laver,3,0,1975-04-08
11508,Newcombe,4,0,1975-04-08
11818,Vilas,5,0,1975-04-08
11483,Rosewall,6,0,1975-04-08
11365,Nastase,7,0,1975-04-08
11435,Ashe,8,0,1975-04-08
11534,Okker,9,0,1975-04-08
11386,Orantes,10,0,1975-04-08
11558,Connors,1,0,1975-04-30
11484,Rosewall,2,0,1975-04-30
11819,Vilas,2,0,1975-04-30
11509,Newcombe,4,0,1975-04-30
11797,Borg,5,0,1975-04-30
11462,Laver,6,0,1975-04-30
11366,Nastase,7,0,1975-04-30
11436,Ashe,8,0,1975-04-30
11535,Okker,9,0,1975-04-30
11387,Orantes,10,0,1975-04-30
11559,Connors,1,0,1975-06-02
11485,Rosewall,2,0,1975-06-02
11820,Vilas,3,0,1975-06-02
11798,Borg,4,0,1975-06-02
11510,Newcombe,5,0,1975-06-02
11367,Nastase,6,0,1975-06-02
11388,Orantes,7,0,1975-06-02
11437,Ashe,8,0,1975-06-02
11463,Laver,9,0,1975-06-02
11536,Okker,10,0,1975-06-02
11560,Connors,1,0,1975-06-26
11486,Rosewall,2,0,1975-06-26
11821,Vilas,3,0,1975-06-26
11511,Newcombe,4,0,1975-06-26
11799,Borg,5,0,1975-06-26
11537,Okker,6,0,1975-06-26
11438,Ashe,7,0,1975-06-26
11368,Nastase,8,0,1975-06-26
11389,Orantes,9,0,1975-06-26
11464,Laver,10,0,1975-06-26
11561,Connors,1,0,1975-12-15
11822,Vilas,2,0,1975-12-15
11800,Borg,3,0,1975-12-15
11439,Ashe,4,0,1975-12-15
11390,Orantes,5,0,1975-12-15
11487,Rosewall,6,0,1975-12-15
11369,Nastase,7,0,1975-12-15
11833,Alexander,8,0,1975-12-15
11834,Tanner,9,0,1975-12-15
11465,Laver,10,0,1975-12-15
11562,Connors,1,0,1976-06-14
11440,Ashe,2,0,1976-06-14
11823,Vilas,3,0,1976-06-14
11801,Borg,4,0,1976-06-14
11391,Orantes,5,0,1976-06-14
11513,Panatta,6,0,1976-06-14
11370,Nastase,7,0,1976-06-14
11837,Dibbs,8,0,1976-06-14
11488,Rosewall,9,0,1976-06-14
11845,Ramirez,10,0,1976-06-14
11563,Connors,1,0,1976-12-12
11802,Borg,2,0,1976-12-12
11371,Nastase,3,0,1976-12-12
11392,Orantes,4,0,1976-12-12
11846,Ramirez,5,0,1976-12-12
11824,Vilas,6,0,1976-12-12
11514,Panatta,7,0,1976-12-12
11852,Solomon,8,0,1976-12-12
11838,Dibbs,9,0,1976-12-12
11856,Gottfried,10,0,1976-12-12
11564,Connors,1,0,1977-07-02
11803,Borg,2,0,1977-07-02
11857,Gottfried,3,0,1977-07-02
11825,Vilas,4,0,1977-07-02
11847,Ramirez,5,0,1977-07-02
11393,Orantes,6,0,1977-07-02
11372,Nastase,7,0,1977-07-02
11862,Gerulaitis,8,0,1977-07-02
11835,Tanner,9,0,1977-07-02
11839,Dibbs,10,0,1977-07-02
11565,Connors,1,0,1977-12-31
11826,Vilas,2,0,1977-12-31
11804,Borg,3,0,1977-12-31
11863,Gerulaitis,4,0,1977-12-31
11858,Gottfried,5,0,1977-12-31
11840,Dibbs,6,0,1977-12-31
11394,Orantes,7,0,1977-12-31
11848,Ramirez,8,0,1977-12-31
11373,Nastase,9,0,1977-12-31
11870,Stockton,10,0,1977-12-31
11566,Connors,1,0,1978-01-16
11827,Vilas,2,0,1978-01-16
11805,Borg,3,0,1978-01-16
11864,Gerulaitis,4,0,1978-01-16
11859,Gottfried,5,0,1978-01-16
11841,Dibbs,6,0,1978-01-16
11395,Orantes,7,0,1978-01-16
11871,Stockton,8,0,1978-01-16
11849,Ramirez,9,0,1978-01-16
11374,Nastase,10,0,1978-01-16
11567,Connors,1,0,1978-07-12
11828,Vilas,2,0,1978-07-12
11806,Borg,3,0,1978-07-12
11865,Gerulaitis,4,0,1978-07-12
11860,Gottfried,5,0,1978-07-12
11842,Dibbs,6,0,1978-07-12
11850,Ramirez,7,0,1978-07-12
11396,Orantes,8,0,1978-07-12
11872,Barazzutti,9,0,1978-07-12
11874,Mayer,10,0,1978-07-12
11568,Connors,1,0,1978-12-31
11807,Borg,2,0,1978-12-31
11829,Vilas,3,0,1978-12-31
11875,Mcenroe,4,0,1978-12-31
11866,Gerulaitis,5,0,1978-12-31
11843,Dibbs,6,0,1978-12-31
11861,Gottfried,7,0,1978-12-31
11851,Ramirez,8,0,1978-12-31
11853,Solomon,9,0,1978-12-31
11873,Barazzutti,10,0,1978-12-31
11808,Borg,1,0,1979-12-26
11569,Connors,2,0,1979-12-26
11876,Mcenroe,3,0,1979-12-26
11867,Gerulaitis,4,0,1979-12-26
11836,Tanner,5,0,1979-12-26
11830,Vilas,6,0,1979-12-26
11441,Ashe,7,0,1979-12-26
11854,Solomon,8,0,1979-12-26
12083,Higueras,9,0,1979-12-26
11844,Dibbs,10,0,1979-12-26
11809,Borg,1,0,1980-12-22
11905,Mcenroe,2,0,1980-12-22
11570,Connors,3,0,1980-12-22
11831,Vilas,4,0,1980-12-22
16493,Mayer,5,0,1980-12-22
12260,Lendl,6,0,1980-12-22
11855,Solomon,7,0,1980-12-22
16496,Clerc,8,0,1980-12-22
11868,Gerulaitis,9,0,1980-12-22
16501,Teltscher,10,0,1980-12-22
11906,Mcenroe,1,0,1983-01-03
11571,Connors,2,0,1983-01-03
12261,Lendl,3,0,1983-01-03
11832,Vilas,4,0,1983-01-03
11869,Gerulaitis,5,0,1983-01-03
16497,Clerc,6,0,1983-01-03
14213,Wilander,7,0,1983-01-03
16494,Mayer,8,0,1983-01-03
14055,Noah,9,0,1983-01-03
16515,Mcnamara,10,0,1983-01-03
11907,Mcenroe,1,0,1984-01-02
12262,Lendl,2,0,1984-01-02
11572,Connors,3,0,1984-01-02
14214,Wilander,4,0,1984-01-02
14056,Noah,5,0,1984-01-02
16516,Arias,6,0,1984-01-02
12084,Higueras,7,0,1984-01-02
16498,Clerc,8,0,1984-01-02
16537,Curren,9,0,1984-01-02
16495,Mayer,10,0,1984-01-02
11908,Mcenroe,1,0,1984-06-25
12263,Lendl,2,0,1984-06-25
11573,Connors,3,0,1984-06-25
14215,Wilander,4,0,1984-06-25
16517,Arias,5,0,1984-06-25
14614,Gomez,6,0,1984-06-25
14057,Noah,7,0,1984-06-25
16499,Clerc,8,0,1984-06-25
16583,Sundstrom,9,0,1984-06-25
16502,Teltscher,10,0,1984-06-25
12264,Lendl,1,0,1984-07-09
11909,Mcenroe,2,0,1984-07-09
11574,Connors,3,0,1984-07-09
14216,Wilander,4,0,1984-07-09
16518,Arias,5,0,1984-07-09
14615,Gomez,6,0,1984-07-09
14058,Noah,7,0,1984-07-09
16500,Clerc,8,0,1984-07-09
16503,Teltscher,9,0,1984-07-09
16616,Jarryd,10,0,1984-07-09
12265,Lendl,1,0,1984-07-16
11910,Mcenroe,2,0,1984-07-16
11575,Connors,3,0,1984-07-16
14217,Wilander,4,0,1984-07-16
16519,Arias,5,0,1984-07-16
14616,Gomez,6,0,1984-07-16
14059,Noah,7,0,1984-07-16
16698,Kriek,8,0,1984-07-16
16584,Sundstrom,9,0,1984-07-16
16617,Jarryd,10,0,1984-07-16
12266,Lendl,1,0,1984-07-23
11911,Mcenroe,2,0,1984-07-23
11576,Connors,3,0,1984-07-23
14218,Wilander,4,0,1984-07-23
16520,Arias,5,0,1984-07-23
14617,Gomez,6,0,1984-07-23
14060,Noah,7,0,1984-07-23
16585,Sundstrom,8,0,1984-07-23
16699,Kriek,9,0,1984-07-23
16618,Jarryd,10,0,1984-07-23
12267,Lendl,1,0,1984-07-30
11912,Mcenroe,2,0,1984-07-30
11577,Connors,3,0,1984-07-30
14219,Wilander,4,0,1984-07-30
16521,Arias,5,0,1984-07-30
14618,Gomez,6,0,1984-07-30
14061,Noah,7,0,1984-07-30
16700,Kriek,8,0,1984-07-30
16586,Sundstrom,9,0,1984-07-30
16619,Jarryd,10,0,1984-07-30
12268,Lendl,1,0,1984-08-06
11913,Mcenroe,2,0,1984-08-06
11578,Connors,3,0,1984-08-06
14220,Wilander,4,0,1984-08-06
14619,Gomez,5,0,1984-08-06
16522,Arias,6,0,1984-08-06
14062,Noah,7,0,1984-08-06
16701,Kriek,8,0,1984-08-06
16620,Jarryd,9,0,1984-08-06
16715,Aguilera,10,0,1984-08-06
11914,Mcenroe,1,0,1984-08-13
12269,Lendl,2,0,1984-08-13
11579,Connors,3,0,1984-08-13
14221,Wilander,4,0,1984-08-13
14620,Gomez,5,0,1984-08-13
16523,Arias,6,0,1984-08-13
14063,Noah,7,0,1984-08-13
16702,Kriek,8,0,1984-08-13
13981,Krickstein,9,0,1984-08-13
16716,Aguilera,10,0,1984-08-13
11915,Mcenroe,1,0,1984-08-20
12270,Lendl,2,0,1984-08-20
11580,Connors,3,0,1984-08-20
14222,Wilander,4,0,1984-08-20
14621,Gomez,5,0,1984-08-20
16524,Arias,6,0,1984-08-20
14064,Noah,7,0,1984-08-20
16703,Kriek,8,0,1984-08-20
13982,Krickstein,9,0,1984-08-20
16587,Sundstrom,10,0,1984-08-20
11916,Mcenroe,1,0,1984-08-27
12271,Lendl,2,0,1984-08-27
11581,Connors,3,0,1984-08-27
14223,Wilander,4,0,1984-08-27
14622,Gomez,5,0,1984-08-27
16525,Arias,6,0,1984-08-27
14065,Noah,7,0,1984-08-27
16704,Kriek,8,0,1984-08-27
16588,Sundstrom,9,0,1984-08-27
16621,Jarryd,10,0,1984-08-27
11917,Mcenroe,1,0,1984-09-10
12272,Lendl,2,0,1984-09-10
11582,Connors,3,0,1984-09-10
14224,Wilander,4,0,1984-09-10
14623,Gomez,5,0,1984-09-10
16526,Arias,6,0,1984-09-10
16705,Kriek,7,0,1984-09-10
16718,Cash,7,0,1984-09-10
16589,Sundstrom,9,0,1984-09-10
16622,Jarryd,10,0,1984-09-10
11918,Mcenroe,1,0,1984-09-17
12273,Lendl,2,0,1984-09-17
11583,Connors,3,0,1984-09-17
14225,Wilander,4,0,1984-09-17
14624,Gomez,5,0,1984-09-17
16527,Arias,6,0,1984-09-17
16717,Aguilera,7,0,1984-09-17
16623,Jarryd,8,0,1984-09-17
16590,Sundstrom,9,0,1984-09-17
14066,Noah,10,0,1984-09-17
11919,Mcenroe,1,0,1984-09-24
11584,Connors,2,0,1984-09-24
12274,Lendl,3,0,1984-09-24
14226,Wilander,4,0,1984-09-24
14625,Gomez,5,0,1984-09-24
16624,Jarryd,6,0,1984-09-24
16528,Arias,7,0,1984-09-24
16591,Sundstrom,8,0,1984-09-24
14067,Noah,9,0,1984-09-24
16706,Kriek,10,0,1984-09-24
16719,Cash,10,0,1984-09-24
11920,Mcenroe,1,0,1984-10-01
11585,Connors,2,0,1984-10-01
12275,Lendl,3,0,1984-10-01
14227,Wilander,4,0,1984-10-01
14626,Gomez,5,0,1984-10-01
16625,Jarryd,6,0,1984-10-01
16529,Arias,7,0,1984-10-01
16592,Sundstrom,8,0,1984-10-01
14068,Noah,9,0,1984-10-01
16707,Kriek,10,0,1984-10-01
16720,Cash,10,0,1984-10-01
11921,Mcenroe,1,0,1984-10-08
11586,Connors,2,0,1984-10-08
12276,Lendl,3,0,1984-10-08
14228,Wilander,4,0,1984-10-08
14627,Gomez,5,0,1984-10-08
16593,Sundstrom,6,0,1984-10-08
16626,Jarryd,7,0,1984-10-08
16504,Teltscher,8,0,1984-10-08
16530,Arias,9,0,1984-10-08
14069,Noah,10,0,1984-10-08
11922,Mcenroe,1,0,1984-10-15
12277,Lendl,2,0,1984-10-15
11587,Connors,3,0,1984-10-15
14229,Wilander,4,0,1984-10-15
14628,Gomez,5,0,1984-10-15
16627,Jarryd,6,0,1984-10-15
16594,Sundstrom,7,0,1984-10-15
16505,Teltscher,8,0,1984-10-15
16807,Nystrom,9,0,1984-10-15
16531,Arias,10,0,1984-10-15
11923,Mcenroe,1,0,1984-10-22
12278,Lendl,2,0,1984-10-22
11588,Connors,3,0,1984-10-22
14230,Wilander,4,0,1984-10-22
14629,Gomez,5,0,1984-10-22
16628,Jarryd,6,0,1984-10-22
16595,Sundstrom,7,0,1984-10-22
16808,Nystrom,8,0,1984-10-22
16532,Arias,9,0,1984-10-22
16721,Cash,10,0,1984-10-22
11924,Mcenroe,1,0,1984-10-29
11589,Connors,2,0,1984-10-29
12279,Lendl,3,0,1984-10-29
14231,Wilander,4,0,1984-10-29
14630,Gomez,5,0,1984-10-29
16629,Jarryd,6,0,1984-10-29
16596,Sundstrom,7,0,1984-10-29
16809,Nystrom,8,0,1984-10-29
16533,Arias,9,0,1984-10-29
16722,Cash,10,0,1984-10-29
11925,Mcenroe,1,0,1984-11-06
11590,Connors,2,0,1984-11-06
12280,Lendl,3,0,1984-11-06
14232,Wilander,4,0,1984-11-06
14631,Gomez,5,0,1984-11-06
16630,Jarryd,6,0,1984-11-06
16597,Sundstrom,7,0,1984-11-06
16810,Nystrom,8,0,1984-11-06
16534,Arias,9,0,1984-11-06
16723,Cash,10,0,1984-11-06
11926,Mcenroe,1,0,1984-11-12
12281,Lendl,2,0,1984-11-12
11591,Connors,3,0,1984-11-12
14233,Wilander,4,0,1984-11-12
14632,Gomez,5,0,1984-11-12
16631,Jarryd,6,0,1984-11-12
16598,Sundstrom,7,0,1984-11-12
16811,Nystrom,8,0,1984-11-12
16708,Kriek,9,0,1984-11-12
16535,Arias,10,0,1984-11-12
11927,Mcenroe,1,0,1984-11-19
12282,Lendl,2,0,1984-11-19
11592,Connors,3,0,1984-11-19
14234,Wilander,4,0,1984-11-19
14633,Gomez,5,0,1984-11-19
16632,Jarryd,6,0,1984-11-19
16599,Sundstrom,7,0,1984-11-19
16812,Nystrom,8,0,1984-11-19
16709,Kriek,9,0,1984-11-19
16536,Arias,10,0,1984-11-19
11928,Mcenroe,1,0,1984-11-26
12283,Lendl,2,0,1984-11-26
11593,Connors,3,0,1984-11-26
14235,Wilander,4,0,1984-11-26
14634,Gomez,5,0,1984-11-26
16633,Jarryd,6,0,1984-11-26
16600,Sundstrom,7,0,1984-11-26
16813,Nystrom,8,0,1984-11-26
16506,Teltscher,9,0,1984-11-26
14070,Noah,10,0,1984-11-26
11929,Mcenroe,1,0,1984-12-10
11594,Connors,2,0,1984-12-10
12284,Lendl,3,0,1984-12-10
14236,Wilander,4,0,1984-12-10
14635,Gomez,5,0,1984-12-10
16601,Sundstrom,6,0,1984-12-10
16634,Jarryd,7,0,1984-12-10
16814,Nystrom,8,0,1984-12-10
16507,Teltscher,9,0,1984-12-10
14071,Noah,10,0,1984-12-10
11930,Mcenroe,1,0,1984-12-17
11595,Connors,2,0,1984-12-17
12285,Lendl,3,0,1984-12-17
14237,Wilander,4,0,1984-12-17
14636,Gomez,5,0,1984-12-17
16635,Jarryd,6,0,1984-12-17
16602,Sundstrom,7,0,1984-12-17
16508,Teltscher,8,0,1984-12-17
