,name,type,value,date
12199,Lendl,8,1985,1992-11-16
428,Agassi,9,1852,1992-11-16
2359,Krajicek,10,1795,1992-11-16
15416,Courier,1,3599,1992-11-23
13154,Edberg,2,3236,1992-11-23
1315,Sampras,3,3074,1992-11-23
15000,Ivanisevic,4,2718,1992-11-23
12624,Becker,5,2530,1992-11-23
13637,Chang,6,2277,1992-11-23
16018,Korda,7,2174,1992-11-23
12200,Lendl,8,1985,1992-11-23
429,Agassi,9,1852,1992-11-23
2360,Krajicek,10,1816,1992-11-23
15417,Courier,1,3599,1992-11-30
13155,Edberg,2,3236,1992-11-30
1316,Sampras,3,3074,1992-11-30
15001,Ivanisevic,4,2718,1992-11-30
12625,Becker,5,2530,1992-11-30
13638,Chang,6,2277,1992-11-30
16019,Korda,7,2174,1992-11-30
12201,Lendl,8,1985,1992-11-30
430,Agassi,9,1852,1992-11-30
2361,Krajicek,10,1816,1992-11-30
15418,Courier,1,3599,1992-12-07
13156,Edberg,2,3236,1992-12-07
1317,Sampras,3,3074,1992-12-07
15002,Ivanisevic,4,2718,1992-12-07
12626,Becker,5,2530,1992-12-07
13639,Chang,6,2277,1992-12-07
16020,Korda,7,2174,1992-12-07
12202,Lendl,8,1985,1992-12-07
431,Agassi,9,1852,1992-12-07
2362,Krajicek,10,1816,1992-12-07
15419,Courier,1,3599,1992-12-14
13157,Edberg,2,3236,1992-12-14
1318,Sampras,3,3074,1992-12-14
15003,Ivanisevic,4,2718,1992-12-14
12627,Becker,5,2530,1992-12-14
13640,Chang,6,2277,1992-12-14
16021,Korda,7,2174,1992-12-14
12203,Lendl,8,1985,1992-12-14
432,Agassi,9,1852,1992-12-14
2363,Krajicek,10,1816,1992-12-14
15420,Courier,1,3599,1992-12-21
13158,Edberg,2,3236,1992-12-21
1319,Sampras,3,3074,1992-12-21
15004,Ivanisevic,4,2718,1992-12-21
12628,Becker,5,2530,1992-12-21
13641,Chang,6,2277,1992-12-21
16022,Korda,7,2174,1992-12-21
12204,Lendl,8,1985,1992-12-21
433,Agassi,9,1852,1992-12-21
2364,Krajicek,10,1816,1992-12-21
15545,Courier,1,0,1992-12-28
13276,Edberg,2,0,1992-12-28
1648,Sampras,3,0,1992-12-28
15226,Ivanisevic,4,0,1992-12-28
12809,Becker,5,0,1992-12-28
13877,Chang,6,0,1992-12-28
16097,Korda,7,0,1992-12-28
12253,Lendl,8,0,1992-12-28
629,Agassi,9,0,1992-12-28
2501,Krajicek,10,0,1992-12-28
15546,Courier,1,0,1993-01-04
13277,Edberg,2,0,1993-01-04
1649,Sampras,3,0,1993-01-04
15227,Ivanisevic,4,0,1993-01-04
12810,Becker,5,0,1993-01-04
13878,Chang,6,0,1993-01-04
16098,Korda,7,0,1993-01-04
12254,Lendl,8,0,1993-01-04
630,Agassi,9,0,1993-01-04
2502,Krajicek,10,0,1993-01-04
15421,Courier,1,3599,1993-01-11
13159,Edberg,2,3244,1993-01-11
1320,Sampras,3,3074,1993-01-11
12629,Becker,4,2751,1993-01-11
15005,Ivanisevic,5,2716,1993-01-11
13642,Chang,6,2277,1993-01-11
16023,Korda,7,2174,1993-01-11
12205,Lendl,8,1985,1993-01-11
434,Agassi,9,1852,1993-01-11
2365,Krajicek,10,1801,1993-01-11
15422,Courier,1,3599,1993-01-18
13160,Edberg,2,3244,1993-01-18
1321,Sampras,3,3203,1993-01-18
12630,Becker,4,2751,1993-01-18
15006,Ivanisevic,5,2716,1993-01-18
13643,Chang,6,2373,1993-01-18
16024,Korda,7,2174,1993-01-18
12206,Lendl,8,1985,1993-01-18
435,Agassi,9,1852,1993-01-18
2366,Krajicek,10,1801,1993-01-18
15547,Courier,1,0,1993-01-25
13278,Edberg,2,0,1993-01-25
1650,Sampras,3,0,1993-01-25
12811,Becker,4,0,1993-01-25
15228,Ivanisevic,5,0,1993-01-25
13879,Chang,6,0,1993-01-25
16099,Korda,7,0,1993-01-25
12255,Lendl,8,0,1993-01-25
631,Agassi,9,0,1993-01-25
2503,Krajicek,10,0,1993-01-25
15423,Courier,1,3667,1993-02-01
1322,Sampras,2,3399,1993-02-01
13161,Edberg,3,3271,1993-02-01
12631,Becker,4,2751,1993-02-01
15007,Ivanisevic,5,2716,1993-02-01
13644,Chang,6,2373,1993-02-01
16025,Korda,7,2250,1993-02-01
12207,Lendl,8,1887,1993-02-01
436,Agassi,9,1852,1993-02-01
15327,Forget,10,1698,1993-02-01
15424,Courier,1,3588,1993-02-08
1323,Sampras,2,3399,1993-02-08
13162,Edberg,3,3271,1993-02-08
12632,Becker,4,2751,1993-02-08
15008,Ivanisevic,5,2610,1993-02-08
16026,Korda,6,2254,1993-02-08
13645,Chang,7,2226,1993-02-08
437,Agassi,8,2006,1993-02-08
12208,Lendl,9,1887,1993-02-08
15328,Forget,10,1692,1993-02-08
15425,Courier,1,3615,1993-02-15
1324,Sampras,2,3399,1993-02-15
13163,Edberg,3,3182,1993-02-15
12633,Becker,4,2728,1993-02-15
15009,Ivanisevic,5,2595,1993-02-15
16027,Korda,6,2325,1993-02-15
13646,Chang,7,2300,1993-02-15
438,Agassi,8,2035,1993-02-15
12209,Lendl,9,1832,1993-02-15
15596,Bruguera,10,1603,1993-02-15
15426,Courier,1,3572,1993-02-22
1325,Sampras,2,3241,1993-02-22
13164,Edberg,3,3021,1993-02-22
12634,Becker,4,2888,1993-02-22
13647,Chang,5,2326,1993-02-22
16028,Korda,6,2303,1993-02-22
15010,Ivanisevic,7,2261,1993-02-22
439,Agassi,8,2035,1993-02-22
12210,Lendl,9,2016,1993-02-22
15798,Stich,10,1962,1993-02-22
15427,Courier,1,3572,1993-03-01
1326,Sampras,2,3241,1993-03-01
13165,Edberg,3,3021,1993-03-01
12635,Becker,4,2701,1993-03-01
13648,Chang,5,2326,1993-03-01
16029,Korda,6,2303,1993-03-01
15011,Ivanisevic,7,2294,1993-03-01
440,Agassi,8,2162,1993-03-01
12211,Lendl,9,1982,1993-03-01
15799,Stich,10,1962,1993-03-01
15428,Courier,1,3916,1993-03-08
1327,Sampras,2,3241,1993-03-08
13166,Edberg,3,3021,1993-03-08
12636,Becker,4,2701,1993-03-08
16030,Korda,5,2347,1993-03-08
15012,Ivanisevic,6,2294,1993-03-08
13649,Chang,7,2218,1993-03-08
441,Agassi,8,2128,1993-03-08
12212,Lendl,9,1982,1993-03-08
15800,Stich,10,1818,1993-03-08
15548,Courier,1,0,1993-03-15
1651,Sampras,2,0,1993-03-15
13279,Edberg,3,0,1993-03-15
12812,Becker,4,0,1993-03-15
16100,Korda,5,0,1993-03-15
15229,Ivanisevic,6,0,1993-03-15
13880,Chang,7,0,1993-03-15
632,Agassi,8,0,1993-03-15
12256,Lendl,9,0,1993-03-15
15917,Stich,10,0,1993-03-15
15429,Courier,1,3781,1993-03-22
1328,Sampras,2,3559,1993-03-22
13167,Edberg,3,3054,1993-03-22
12637,Becker,4,2680,1993-03-22
16031,Korda,5,2452,1993-03-22
15013,Ivanisevic,6,2294,1993-03-22
442,Agassi,7,2176,1993-03-22
12213,Lendl,8,1982,1993-03-22
13650,Chang,9,1861,1993-03-22
15801,Stich,10,1828,1993-03-22
15549,Courier,1,0,1993-03-29
1652,Sampras,2,0,1993-03-29
13280,Edberg,3,0,1993-03-29
12813,Becker,4,0,1993-03-29
16101,Korda,5,0,1993-03-29
15230,Ivanisevic,6,0,1993-03-29
633,Agassi,7,0,1993-03-29
12257,Lendl,8,0,1993-03-29
13881,Chang,9,0,1993-03-29
15918,Stich,10,0,1993-03-29
15430,Courier,1,3829,1993-04-05
1329,Sampras,2,3559,1993-04-05
13168,Edberg,3,3054,1993-04-05
12638,Becker,4,2680,1993-04-05
16032,Korda,5,2452,1993-04-05
15014,Ivanisevic,6,2294,1993-04-05
443,Agassi,7,2176,1993-04-05
13651,Chang,8,1979,1993-04-05
12214,Lendl,9,1978,1993-04-05
15802,Stich,10,1828,1993-04-05
1330,Sampras,1,3736,1993-04-12
15431,Courier,2,3563,1993-04-12
13169,Edberg,3,2972,1993-04-12
12639,Becker,4,2680,1993-04-12
16033,Korda,5,2452,1993-04-12
15015,Ivanisevic,6,2294,1993-04-12
444,Agassi,7,2245,1993-04-12
12215,Lendl,8,1959,1993-04-12
13652,Chang,9,1899,1993-04-12
15803,Stich,10,1801,1993-04-12
1331,Sampras,1,3826,1993-04-19
15432,Courier,2,3517,1993-04-19
13170,Edberg,3,2985,1993-04-19
12640,Becker,4,2680,1993-04-19
16034,Korda,5,2452,1993-04-19
15016,Ivanisevic,6,2294,1993-04-19
445,Agassi,7,2213,1993-04-19
12216,Lendl,8,2108,1993-04-19
13653,Chang,9,1853,1993-04-19
15804,Stich,10,1801,1993-04-19
1332,Sampras,1,3826,1993-04-26
15433,Courier,2,3517,1993-04-26
13171,Edberg,3,3091,1993-04-26
12641,Becker,4,2675,1993-04-26
16035,Korda,5,2452,1993-04-26
15017,Ivanisevic,6,2294,1993-04-26
446,Agassi,7,2213,1993-04-26
12217,Lendl,8,2108,1993-04-26
15597,Bruguera,9,1910,1993-04-26
13654,Chang,10,1853,1993-04-26
1333,Sampras,1,3826,1993-05-03
15434,Courier,2,3517,1993-05-03
13172,Edberg,3,3259,1993-05-03
12642,Becker,4,2675,1993-05-03
16036,Korda,5,2443,1993-05-03
15018,Ivanisevic,6,2294,1993-05-03
12218,Lendl,7,2229,1993-05-03
447,Agassi,8,2050,1993-05-03
13655,Chang,9,1853,1993-05-03
15598,Bruguera,10,1837,1993-05-03
1334,Sampras,1,3826,1993-05-10
15435,Courier,2,3517,1993-05-10
13173,Edberg,3,2982,1993-05-10
12643,Becker,4,2555,1993-05-10
16037,Korda,5,2443,1993-05-10
15019,Ivanisevic,6,2272,1993-05-10
12219,Lendl,7,2262,1993-05-10
448,Agassi,8,2032,1993-05-10
15805,Stich,9,1923,1993-05-10
13656,Chang,10,1853,1993-05-10
1335,Sampras,1,3849,1993-05-17
15436,Courier,2,3565,1993-05-17
13174,Edberg,3,2982,1993-05-17
12644,Becker,4,2577,1993-05-17
15020,Ivanisevic,5,2566,1993-05-17
16038,Korda,6,2294,1993-05-17
12220,Lendl,7,2262,1993-05-17
449,Agassi,8,2032,1993-05-17
13657,Chang,9,1925,1993-05-17
15806,Stich,10,1923,1993-05-17
1336,Sampras,1,3849,1993-05-24
15437,Courier,2,3565,1993-05-24
13175,Edberg,3,2982,1993-05-24
12645,Becker,4,2577,1993-05-24
15021,Ivanisevic,5,2566,1993-05-24
16039,Korda,6,2294,1993-05-24
12221,Lendl,7,2262,1993-05-24
450,Agassi,8,2032,1993-05-24
13658,Chang,9,1925,1993-05-24
15807,Stich,10,1923,1993-05-24
1653,Sampras,1,0,1993-05-31
15550,Courier,2,0,1993-05-31
13281,Edberg,3,0,1993-05-31
12814,Becker,4,0,1993-05-31
15231,Ivanisevic,5,0,1993-05-31
16102,Korda,6,0,1993-05-31
12258,Lendl,7,0,1993-05-31
634,Agassi,8,0,1993-05-31
13882,Chang,9,0,1993-05-31
15919,Stich,10,0,1993-05-31
1337,Sampras,1,3880,1993-06-07
15438,Courier,2,3385,1993-06-07
13176,Edberg,3,3061,1993-06-07
12646,Becker,4,2577,1993-06-07
15599,Bruguera,5,2550,1993-06-07
15022,Ivanisevic,6,2431,1993-06-07
12222,Lendl,7,2262,1993-06-07
16218,Medvedev,8,2017,1993-06-07
15808,Stich,9,1982,1993-06-07
16040,Korda,10,1946,1993-06-07
1338,Sampras,1,3880,1993-06-14
15439,Courier,2,3385,1993-06-14
13177,Edberg,3,3055,1993-06-14
12647,Becker,4,2600,1993-06-14
15600,Bruguera,5,2550,1993-06-14
15023,Ivanisevic,6,2431,1993-06-14
12223,Lendl,7,2262,1993-06-14
15809,Stich,8,2105,1993-06-14
16219,Medvedev,9,2017,1993-06-14
16041,Korda,10,1946,1993-06-14
1339,Sampras,1,3880,1993-06-21
15440,Courier,2,3385,1993-06-21
13178,Edberg,3,3055,1993-06-21
12648,Becker,4,2600,1993-06-21
15601,Bruguera,5,2550,1993-06-21
15024,Ivanisevic,6,2431,1993-06-21
12224,Lendl,7,2262,1993-06-21
15810,Stich,8,2105,1993-06-21
16220,Medvedev,9,2020,1993-06-21
16042,Korda,10,1964,1993-06-21
1654,Sampras,1,0,1993-06-28
15551,Courier,2,0,1993-06-28
13282,Edberg,3,0,1993-06-28
12815,Becker,4,0,1993-06-28
15726,Bruguera,5,0,1993-06-28
15232,Ivanisevic,6,0,1993-06-28
12259,Lendl,7,0,1993-06-28
15920,Stich,8,0,1993-06-28
16270,Medvedev,9,0,1993-06-28
16103,Korda,10,0,1993-06-28
1340,Sampras,1,4197,1993-07-05
15441,Courier,2,3842,1993-07-05
13179,Edberg,3,3230,1993-07-05
12649,Becker,4,2786,1993-07-05
15602,Bruguera,5,2550,1993-07-05
12225,Lendl,6,2249,1993-07-05
15811,Stich,7,2117,1993-07-05
16221,Medvedev,8,2020,1993-07-05
16043,Korda,9,1983,1993-07-05
15025,Ivanisevic,10,1961,1993-07-05
1341,Sampras,1,4197,1993-07-12
15442,Courier,2,3842,1993-07-12
13180,Edberg,3,3230,1993-07-12
12650,Becker,4,2786,1993-07-12
15603,Bruguera,5,2551,1993-07-12
12226,Lendl,6,2249,1993-07-12
15812,Stich,7,2117,1993-07-12
16222,Medvedev,8,2020,1993-07-12
16044,Korda,9,1983,1993-07-12
15026,Ivanisevic,10,1943,1993-07-12
1342,Sampras,1,4197,1993-07-19
15443,Courier,2,3842,1993-07-19
13181,Edberg,3,3230,1993-07-19
12651,Becker,4,2786,1993-07-19
15604,Bruguera,5,2531,1993-07-19
12227,Lendl,6,2249,1993-07-19
15813,Stich,7,2114,1993-07-19
13659,Chang,8,1914,1993-07-19
2367,Krajicek,9,1888,1993-07-19
15027,Ivanisevic,10,1856,1993-07-19
1343,Sampras,1,4197,1993-07-26
15444,Courier,2,3842,1993-07-26
13182,Edberg,3,3230,1993-07-26
12652,Becker,4,2786,1993-07-26
15605,Bruguera,5,2531,1993-07-26
15814,Stich,6,2325,1993-07-26
12228,Lendl,7,2073,1993-07-26
13660,Chang,8,1914,1993-07-26
2368,Krajicek,9,1888,1993-07-26
15028,Ivanisevic,10,1856,1993-07-26
1344,Sampras,1,4197,1993-08-02
15445,Courier,2,3845,1993-08-02
13183,Edberg,3,3230,1993-08-02
12653,Becker,4,2786,1993-08-02
15606,Bruguera,5,2531,1993-08-02
15815,Stich,6,2325,1993-08-02
12229,Lendl,7,2103,1993-08-02
16045,Korda,8,1938,1993-08-02
13661,Chang,9,1914,1993-08-02
2369,Krajicek,10,1888,1993-08-02
1345,Sampras,1,4197,1993-08-09
15446,Courier,2,3845,1993-08-09
13184,Edberg,3,3230,1993-08-09
12654,Becker,4,2786,1993-08-09
15607,Bruguera,5,2661,1993-08-09
15816,Stich,6,2327,1993-08-09
12230,Lendl,7,2103,1993-08-09
2370,Krajicek,8,2003,1993-08-09
13662,Chang,9,1982,1993-08-09
16046,Korda,10,1938,1993-08-09
1346,Sampras,1,3973,1993-08-16
15447,Courier,2,3845,1993-08-16
13185,Edberg,3,3375,1993-08-16
12655,Becker,4,2786,1993-08-16
15608,Bruguera,5,2661,1993-08-16
15817,Stich,6,2392,1993-08-16
13663,Chang,7,2180,1993-08-16
2371,Krajicek,8,2003,1993-08-16
16047,Korda,9,1898,1993-08-16
15029,Ivanisevic,10,1894,1993-08-16
15448,Courier,1,3973,1993-08-23
1347,Sampras,2,3766,1993-08-23
13186,Edberg,3,3114,1993-08-23
12656,Becker,4,2844,1993-08-23
15609,Bruguera,5,2661,1993-08-23
15818,Stich,6,2392,1993-08-23
13664,Chang,7,2141,1993-08-23
16223,Medvedev,8,2119,1993-08-23
16048,Korda,9,2014,1993-08-23
2372,Krajicek,10,2003,1993-08-23
15449,Courier,1,3973,1993-08-30
1348,Sampras,2,3766,1993-08-30
13187,Edberg,3,3145,1993-08-30
12657,Becker,4,2823,1993-08-30
15610,Bruguera,5,2661,1993-08-30
15819,Stich,6,2392,1993-08-30
13665,Chang,7,2250,1993-08-30
16224,Medvedev,8,2119,1993-08-30
2373,Krajicek,9,2003,1993-08-30
15030,Ivanisevic,10,1928,1993-08-30
15552,Courier,1,0,1993-09-06
1655,Sampras,2,0,1993-09-06
13283,Edberg,3,0,1993-09-06
12816,Becker,4,0,1993-09-06
15727,Bruguera,5,0,1993-09-06
15921,Stich,6,0,1993-09-06
13883,Chang,7,0,1993-09-06
16271,Medvedev,8,0,1993-09-06
2504,Krajicek,9,0,1993-09-06
15233,Ivanisevic,10,0,1993-09-06
1349,Sampras,1,3925,1993-09-13
15450,Courier,2,3729,1993-09-13
12658,Becker,3,2827,1993-09-13
15611,Bruguera,4,2661,1993-09-13
13188,Edberg,5,2530,1993-09-13
15820,Stich,6,2392,1993-09-13
16225,Medvedev,7,2267,1993-09-13
13666,Chang,8,2105,1993-09-13
2374,Krajicek,9,2001,1993-09-13
15031,Ivanisevic,10,1905,1993-09-13
1350,Sampras,1,3925,1993-09-20
15451,Courier,2,3729,1993-09-20
12659,Becker,3,2827,1993-09-20
15612,Bruguera,4,2714,1993-09-20
13189,Edberg,5,2530,1993-09-20
15821,Stich,6,2392,1993-09-20
16226,Medvedev,7,2119,1993-09-20
13667,Chang,8,2105,1993-09-20
15032,Ivanisevic,9,2061,1993-09-20
2375,Krajicek,10,2001,1993-09-20
1351,Sampras,1,3925,1993-09-27
15452,Courier,2,3729,1993-09-27
12660,Becker,3,2827,1993-09-27
15613,Bruguera,4,2714,1993-09-27
13190,Edberg,5,2530,1993-09-27
15822,Stich,6,2392,1993-09-27
16227,Medvedev,7,2119,1993-09-27
13668,Chang,8,2105,1993-09-27
15033,Ivanisevic,9,2061,1993-09-27
2376,Krajicek,10,2001,1993-09-27
1352,Sampras,1,3925,1993-10-04
15453,Courier,2,3729,1993-10-04
13191,Edberg,3,2649,1993-10-04
15614,Bruguera,4,2638,1993-10-04
12661,Becker,5,2617,1993-10-04
15823,Stich,6,2598,1993-10-04
13669,Chang,7,2200,1993-10-04
16228,Medvedev,8,2119,1993-10-04
15034,Ivanisevic,9,2061,1993-10-04
2377,Krajicek,10,2001,1993-10-04
1353,Sampras,1,3925,1993-10-11
15454,Courier,2,3759,1993-10-11
12662,Becker,3,2617,1993-10-11
15824,Stich,4,2598,1993-10-11
15615,Bruguera,5,2578,1993-10-11
13192,Edberg,6,2503,1993-10-11
13670,Chang,7,2200,1993-10-11
16229,Medvedev,8,2119,1993-10-11
14745,Muster,9,1999,1993-10-11
2378,Krajicek,10,1886,1993-10-11
1354,Sampras,1,3925,1993-10-18
15455,Courier,2,3759,1993-10-18
12663,Becker,3,2648,1993-10-18
15825,Stich,4,2598,1993-10-18
15616,Bruguera,5,2578,1993-10-18
13193,Edberg,6,2514,1993-10-18
13671,Chang,7,2158,1993-10-18
16230,Medvedev,8,2145,1993-10-18
14746,Muster,9,1999,1993-10-18
2861,Pioline,10,1954,1993-10-18
1355,Sampras,1,3918,1993-10-25
15456,Courier,2,3759,1993-10-25
12664,Becker,3,2648,1993-10-25
15826,Stich,4,2598,1993-10-25
15617,Bruguera,5,2578,1993-10-25
13194,Edberg,6,2514,1993-10-25
13672,Chang,7,2222,1993-10-25
16231,Medvedev,8,2145,1993-10-25
14747,Muster,9,2033,1993-10-25
15035,Ivanisevic,10,2020,1993-10-25
1356,Sampras,1,3790,1993-11-01
15457,Courier,2,3759,1993-11-01
15827,Stich,3,2960,1993-11-01
12665,Becker,4,2608,1993-11-01
15618,Bruguera,5,2590,1993-11-01
13195,Edberg,6,2435,1993-11-01
13673,Chang,7,2222,1993-11-01
16232,Medvedev,8,2145,1993-11-01
14748,Muster,9,2033,1993-11-01
2862,Pioline,10,1929,1993-11-01
1357,Sampras,1,3834,1993-11-08
15458,Courier,2,3695,1993-11-08
15828,Stich,3,3026,1993-11-08
15619,Bruguera,4,2590,1993-11-08
13196,Edberg,5,2571,1993-11-08
16233,Medvedev,6,2399,1993-11-08
12666,Becker,7,2263,1993-11-08
13674,Chang,8,2222,1993-11-08
15036,Ivanisevic,9,2215,1993-11-08
14749,Muster,10,2033,1993-11-08
1358,Sampras,1,3917,1993-11-15
15459,Courier,2,3390,1993-11-15
15829,Stich,3,3003,1993-11-15
15620,Bruguera,4,2590,1993-11-15
13197,Edberg,5,2571,1993-11-15
16234,Medvedev,6,2399,1993-11-15
13675,Chang,7,2154,1993-11-15
15037,Ivanisevic,8,2088,1993-11-15
14750,Muster,9,2033,1993-11-15
2863,Pioline,10,2012,1993-11-15
1359,Sampras,1,4128,1993-11-22
15830,Stich,2,3445,1993-11-22
15460,Courier,3,3390,1993-11-22
15621,Bruguera,4,2590,1993-11-22
13198,Edberg,5,2571,1993-11-22
16235,Medvedev,6,2415,1993-11-22
15038,Ivanisevic,7,2186,1993-11-22
13676,Chang,8,2154,1993-11-22
14751,Muster,9,2033,1993-11-22
2864,Pioline,10,2012,1993-11-22
1360,Sampras,1,4128,1993-11-29
15831,Stich,2,3445,1993-11-29
15461,Courier,3,3390,1993-11-29
15622,Bruguera,4,2590,1993-11-29
13199,Edberg,5,2571,1993-11-29
16236,Medvedev,6,2415,1993-11-29
15039,Ivanisevic,7,2186,1993-11-29
13677,Chang,8,2154,1993-11-29
14752,Muster,9,2033,1993-11-29
2865,Pioline,10,2012,1993-11-29
1361,Sampras,1,4128,1993-12-06
15832,Stich,2,3445,1993-12-06
15462,Courier,3,3390,1993-12-06
15623,Bruguera,4,2590,1993-12-06
13200,Edberg,5,2571,1993-12-06
16237,Medvedev,6,2415,1993-12-06
15040,Ivanisevic,7,2186,1993-12-06
13678,Chang,8,2154,1993-12-06
14753,Muster,9,2033,1993-12-06
2866,Pioline,10,2012,1993-12-06
1362,Sampras,1,4128,1993-12-13
15833,Stich,2,3445,1993-12-13
15463,Courier,3,3390,1993-12-13
15624,Bruguera,4,2590,1993-12-13
13201,Edberg,5,2571,1993-12-13
16238,Medvedev,6,2415,1993-12-13
15041,Ivanisevic,7,2186,1993-12-13
13679,Chang,8,2154,1993-12-13
14754,Muster,9,2033,1993-12-13
2867,Pioline,10,2012,1993-12-13
1363,Sampras,1,4128,1993-12-20
15834,Stich,2,3445,1993-12-20
15464,Courier,3,3390,1993-12-20
15625,Bruguera,4,2590,1993-12-20
13202,Edberg,5,2571,1993-12-20
16239,Medvedev,6,2415,1993-12-20
15042,Ivanisevic,7,2186,1993-12-20
13680,Chang,8,2154,1993-12-20
14755,Muster,9,2033,1993-12-20
2868,Pioline,10,2012,1993-12-20
1656,Sampras,1,0,1993-12-27
15922,Stich,2,0,1993-12-27
15553,Courier,3,0,1993-12-27
15728,Bruguera,4,0,1993-12-27
13284,Edberg,5,0,1993-12-27
16272,Medvedev,6,0,1993-12-27
15234,Ivanisevic,7,0,1993-12-27
13884,Chang,8,0,1993-12-27
14886,Muster,9,0,1993-12-27
2875,Pioline,10,0,1993-12-27
1657,Sampras,1,0,1994-01-03
15923,Stich,2,0,1994-01-03
15554,Courier,3,0,1994-01-03
15729,Bruguera,4,0,1994-01-03
13285,Edberg,5,0,1994-01-03
16273,Medvedev,6,0,1994-01-03
15235,Ivanisevic,7,0,1994-01-03
13885,Chang,8,0,1994-01-03
14887,Muster,9,0,1994-01-03
2876,Pioline,10,0,1994-01-03
1364,Sampras,1,4128,1994-01-10
15835,Stich,2,3445,1994-01-10
15465,Courier,3,3390,1994-01-10
13203,Edberg,4,2680,1994-01-10
15626,Bruguera,5,2590,1994-01-10
16240,Medvedev,6,2415,1994-01-10
13681,Chang,7,2154,1994-01-10
15043,Ivanisevic,8,2144,1994-01-10
14756,Muster,9,2033,1994-01-10
2869,Pioline,10,2005,1994-01-10
1365,Sampras,1,4154,1994-01-17
15836,Stich,2,3445,1994-01-17
15466,Courier,3,3390,1994-01-17
13204,Edberg,4,2680,1994-01-17
15627,Bruguera,5,2590,1994-01-17
16241,Medvedev,6,2415,1994-01-17
13682,Chang,7,2157,1994-01-17
15044,Ivanisevic,8,2144,1994-01-17
2870,Pioline,9,1996,1994-01-17
14757,Muster,10,1988,1994-01-17
1658,Sampras,1,0,1994-01-24
15924,Stich,2,0,1994-01-24
15555,Courier,3,0,1994-01-24
13286,Edberg,4,0,1994-01-24
15730,Bruguera,5,0,1994-01-24
16274,Medvedev,6,0,1994-01-24
13886,Chang,7,0,1994-01-24
15236,Ivanisevic,8,0,1994-01-24
2877,Pioline,9,0,1994-01-24
14888,Muster,10,0,1994-01-24
1366,Sampras,1,4573,1994-01-31
15837,Stich,2,3243,1994-01-31
15467,Courier,3,3115,1994-01-31
15628,Bruguera,4,2544,1994-01-31
13205,Edberg,5,2542,1994-01-31
16242,Medvedev,6,2415,1994-01-31
15045,Ivanisevic,7,2252,1994-01-31
2100,Martin,8,2196,1994-01-31
13683,Chang,9,2157,1994-01-31
14758,Muster,10,2054,1994-01-31
1367,Sampras,1,4573,1994-02-07
15838,Stich,2,3262,1994-02-07
15468,Courier,3,3115,1994-02-07
15629,Bruguera,4,2704,1994-02-07
13206,Edberg,5,2542,1994-02-07
16243,Medvedev,6,2415,1994-02-07
15046,Ivanisevic,7,2252,1994-02-07
13684,Chang,8,2197,1994-02-07
2101,Martin,9,2196,1994-02-07
15940,Gustafsson,10,2091,1994-02-07
1368,Sampras,1,4573,1994-02-14
15839,Stich,2,3229,1994-02-14
15469,Courier,3,2925,1994-02-14
15630,Bruguera,4,2631,1994-02-14
13207,Edberg,5,2542,1994-02-14
16244,Medvedev,6,2415,1994-02-14
15047,Ivanisevic,7,2277,1994-02-14
2102,Martin,8,2242,1994-02-14
13685,Chang,9,2144,1994-02-14
15941,Gustafsson,10,2091,1994-02-14
1369,Sampras,1,4573,1994-02-21
15470,Courier,2,3007,1994-02-21
13208,Edberg,3,2993,1994-02-21
15840,Stich,4,2928,1994-02-21
15631,Bruguera,5,2797,1994-02-21
15048,Ivanisevic,6,2579,1994-02-21
16245,Medvedev,7,2392,1994-02-21
13686,Chang,8,2389,1994-02-21
2103,Martin,9,2242,1994-02-21
15942,Gustafsson,10,2141,1994-02-21
1370,Sampras,1,4573,1994-02-28
15841,Stich,2,3094,1994-02-28
15471,Courier,3,3007,1994-02-28
13209,Edberg,4,2993,1994-02-28
15632,Bruguera,5,2797,1994-02-28
15049,Ivanisevic,6,2620,1994-02-28
16246,Medvedev,7,2392,1994-02-28
13687,Chang,8,2380,1994-02-28
2104,Martin,9,2242,1994-02-28
15943,Gustafsson,10,2141,1994-02-28
1371,Sampras,1,4916,1994-03-07
15842,Stich,2,3094,1994-03-07
13210,Edberg,3,3061,1994-03-07
15633,Bruguera,4,2797,1994-03-07
15472,Courier,5,2666,1994-03-07
15050,Ivanisevic,6,2620,1994-03-07
16247,Medvedev,7,2392,1994-03-07
13688,Chang,8,2248,1994-03-07
2105,Martin,9,2231,1994-03-07
15944,Gustafsson,10,2141,1994-03-07
1659,Sampras,1,0,1994-03-14
15925,Stich,2,0,1994-03-14
13287,Edberg,3,0,1994-03-14
15731,Bruguera,4,0,1994-03-14
15556,Courier,5,0,1994-03-14
15237,Ivanisevic,6,0,1994-03-14
16275,Medvedev,7,0,1994-03-14
13887,Chang,8,0,1994-03-14
2172,Martin,9,0,1994-03-14
15950,Gustafsson,10,0,1994-03-14
1372,Sampras,1,4949,1994-03-21
15843,Stich,2,3094,1994-03-21
13211,Edberg,3,3070,1994-03-21
15473,Courier,4,2830,1994-03-21
15634,Bruguera,5,2797,1994-03-21
15051,Ivanisevic,6,2662,1994-03-21
16248,Medvedev,7,2392,1994-03-21
13689,Chang,8,2248,1994-03-21
2106,Martin,9,2231,1994-03-21
15945,Gustafsson,10,2141,1994-03-21
1373,Sampras,1,4949,1994-03-28
15844,Stich,2,3094,1994-03-28
13212,Edberg,3,3070,1994-03-28
