name,type,value,date
Gilbert,4,1510,1990-03-12
Agassi,5,1474,1990-03-12
Mcenroe,6,1359,1990-03-12
Krickstein,7,1325,1990-03-12
Chang,8,1237,1990-03-12
Berger,9,1215,1990-03-12
Mayotte,10,1164,1990-03-12
Lendl,1,3377,1990-03-26
Edberg,2,2782,1990-03-26
Becker,3,2776,1990-03-26
Agassi,4,1825,1990-03-26
Gilbert,5,1476,1990-03-26
Mcenroe,6,1359,1990-03-26
Krickstein,7,1325,1990-03-26
Berger,8,1216,1990-03-26
Chang,9,1156,1990-03-26
Mayotte,10,1102,1990-03-26
Lendl,1,3206,1990-04-09
Edberg,2,2782,1990-04-09
Becker,3,2776,1990-04-09
Agassi,4,1825,1990-04-09
Gilbert,5,1566,1990-04-09
Mcenroe,6,1359,1990-04-09
Krickstein,7,1280,1990-04-09
Berger,8,1232,1990-04-09
Chang,9,1156,1990-04-09
Sanchez,10,1108,1990-04-09
Lendl,1,3201,1990-04-16
Edberg,2,2891,1990-04-16
Becker,3,2776,1990-04-16
Agassi,4,1825,1990-04-16
Gilbert,5,1650,1990-04-16
Krickstein,6,1517,1990-04-16
Berger,7,1271,1990-04-16
Mcenroe,8,1256,1990-04-16
Gomez,9,1226,1990-04-16
Chang,10,1218,1990-04-16
Lendl,1,3201,1990-04-23
Edberg,2,2891,1990-04-23
Becker,3,2776,1990-04-23
Agassi,4,1825,1990-04-23
Gilbert,5,1650,1990-04-23
Krickstein,6,1517,1990-04-23
Berger,7,1271,1990-04-23
Mcenroe,8,1256,1990-04-23
Gomez,9,1226,1990-04-23
Chang,10,1218,1990-04-23
Lendl,1,3201,1990-04-30
Edberg,2,2891,1990-04-30
Becker,3,2692,1990-04-30
Agassi,4,1825,1990-04-30
Gilbert,5,1650,1990-04-30
Krickstein,6,1517,1990-04-30
Sanchez,7,1362,1990-04-30
Berger,8,1271,1990-04-30
Mcenroe,9,1256,1990-04-30
Gomez,10,1255,1990-04-30
Lendl,1,3073,1990-05-07
Edberg,2,2861,1990-05-07
Becker,3,2692,1990-05-07
Agassi,4,1720,1990-05-07
Gilbert,5,1630,1990-05-07
Krickstein,6,1492,1990-05-07
Gomez,7,1388,1990-05-07
Sanchez,8,1362,1990-05-07
Berger,9,1271,1990-05-07
Mcenroe,10,1256,1990-05-07
Lendl,1,2932,1990-05-14
Edberg,2,2861,1990-05-14
Becker,3,2796,1990-05-14
Agassi,4,1751,1990-05-14
Gilbert,5,1630,1990-05-14
Krickstein,6,1506,1990-05-14
Gomez,7,1388,1990-05-14
Sanchez,8,1364,1990-05-14
Mcenroe,9,1256,1990-05-14
Berger,10,1238,1990-05-14
Lendl,1,2932,1990-05-21
Edberg,2,2861,1990-05-21
Becker,3,2796,1990-05-21
Gilbert,4,1639,1990-05-21
Agassi,5,1557,1990-05-21
Gomez,6,1543,1990-05-21
Krickstein,7,1535,1990-05-21
Sanchez,8,1499,1990-05-21
Muster,9,1325,1990-05-21
Chesnokov,10,1315,1990-05-21
Lendl,1,2932,1990-05-28
Edberg,2,2861,1990-05-28
Becker,3,2796,1990-05-28
Gilbert,4,1639,1990-05-28
Agassi,5,1557,1990-05-28
Krickstein,6,1535,1990-05-28
Gomez,7,1529,1990-05-28
Sanchez,8,1499,1990-05-28
Muster,9,1325,1990-05-28
Chesnokov,10,1315,1990-05-28
Lendl,1,2909,1990-06-11
Becker,2,2578,1990-06-11
Edberg,3,2544,1990-06-11
Gomez,4,2005,1990-06-11
Agassi,5,1896,1990-06-11
Gilbert,6,1639,1990-06-11
Muster,7,1570,1990-06-11
Krickstein,8,1544,1990-06-11
Sanchez,9,1499,1990-06-11
Mcenroe,10,1256,1990-06-11
Lendl,1,2976,1990-06-18
Becker,2,2752,1990-06-18
Edberg,3,2606,1990-06-18
Gomez,4,2005,1990-06-18
Agassi,5,1896,1990-06-18
Gilbert,6,1639,1990-06-18
Muster,7,1570,1990-06-18
Krickstein,8,1544,1990-06-18
Sanchez,9,1499,1990-06-18
Mcenroe,10,1341,1990-06-18
Lendl,1,2976,1990-06-25
Becker,2,2752,1990-06-25
Edberg,3,2606,1990-06-25
Gomez,4,2005,1990-06-25
Agassi,5,1896,1990-06-25
Gilbert,6,1639,1990-06-25
Muster,7,1570,1990-06-25
Krickstein,8,1544,1990-06-25
Sanchez,9,1499,1990-06-25
Mcenroe,10,1341,1990-06-25
Lendl,1,2995,1990-07-09
Edberg,2,2783,1990-07-09
Becker,3,2639,1990-07-09
Gomez,4,2005,1990-07-09
Agassi,5,1896,1990-07-09
Gilbert,6,1728,1990-07-09
Muster,7,1570,1990-07-09
Krickstein,8,1513,1990-07-09
Sanchez,9,1499,1990-07-09
Jaite,10,1151,1990-07-09
Lendl,1,2995,1990-07-16
Edberg,2,2783,1990-07-16
Becker,3,2639,1990-07-16
Agassi,4,1825,1990-07-16
Gomez,5,1822,1990-07-16
Gilbert,6,1728,1990-07-16
Muster,7,1570,1990-07-16
Krickstein,8,1512,1990-07-16
Sanchez,9,1512,1990-07-16
Jaite,10,1226,1990-07-16
Lendl,1,2995,1990-07-23
Edberg,2,2783,1990-07-23
Becker,3,2639,1990-07-23
Agassi,4,2056,1990-07-23
Gomez,5,1843,1990-07-23
Gilbert,6,1786,1990-07-23
Sanchez,7,1628,1990-07-23
Muster,8,1570,1990-07-23
Krickstein,9,1512,1990-07-23
Jaite,10,1226,1990-07-23
Lendl,1,2995,1990-07-30
Edberg,2,2783,1990-07-30
Becker,3,2639,1990-07-30
Agassi,4,2126,1990-07-30
Gomez,5,1843,1990-07-30
Gilbert,6,1723,1990-07-30
Sanchez,7,1634,1990-07-30
Muster,8,1570,1990-07-30
Krickstein,9,1512,1990-07-30
Berger,10,1250,1990-07-30
Lendl,1,2995,1990-08-06
Edberg,2,2905,1990-08-06
Becker,3,2653,1990-08-06
Agassi,4,2101,1990-08-06
Gomez,5,1843,1990-08-06
Muster,6,1602,1990-08-06
Gilbert,7,1570,1990-08-06
Sanchez,8,1531,1990-08-06
Krickstein,9,1512,1990-08-06
Chang,10,1266,1990-08-06
Edberg,1,3209,1990-08-13
Lendl,2,2995,1990-08-13
Becker,3,2653,1990-08-13
Agassi,4,2145,1990-08-13
Gomez,5,1982,1990-08-13
Gilbert,6,1742,1990-08-13
Muster,7,1602,1990-08-13
Sanchez,8,1531,1990-08-13
Krickstein,9,1469,1990-08-13
Chang,10,1358,1990-08-13
Edberg,1,3070,1990-08-20
Becker,2,2844,1990-08-20
Lendl,3,2813,1990-08-20
Agassi,4,2103,1990-08-20
Gomez,5,1943,1990-08-20
Muster,6,1602,1990-08-20
Sanchez,7,1531,1990-08-20
Gilbert,8,1506,1990-08-20
Krickstein,9,1471,1990-08-20
Chesnokov,10,1309,1990-08-20
Edberg,1,3216,1990-08-27
Becker,2,2844,1990-08-27
Lendl,3,2813,1990-08-27
Agassi,4,2103,1990-08-27
Gomez,5,1949,1990-08-27
Muster,6,1602,1990-08-27
Sanchez,7,1531,1990-08-27
Gilbert,8,1512,1990-08-27
Krickstein,9,1471,1990-08-27
Chesnokov,10,1309,1990-08-27
Edberg,1,3195,1990-09-10
Becker,2,2665,1990-09-10
Lendl,3,2567,1990-09-10
Agassi,4,2292,1990-09-10
Gomez,5,1949,1990-09-10
Sampras,6,1718,1990-09-10
Muster,7,1638,1990-09-10
Sanchez,8,1552,1990-09-10
Gilbert,9,1512,1990-09-10
Krickstein,10,1372,1990-09-10
Edberg,1,3195,1990-09-17
Becker,2,2665,1990-09-17
Lendl,3,2567,1990-09-17
Agassi,4,2292,1990-09-17
Gomez,5,1949,1990-09-17
Sampras,6,1718,1990-09-17
Muster,7,1638,1990-09-17
Sanchez,8,1552,1990-09-17
Gilbert,9,1512,1990-09-17
Krickstein,10,1372,1990-09-17
Edberg,1,3195,1990-09-24
Becker,2,2665,1990-09-24
Lendl,3,2484,1990-09-24
Agassi,4,2292,1990-09-24
Gomez,5,1754,1990-09-24
Sampras,6,1718,1990-09-24
Muster,7,1625,1990-09-24
Sanchez,8,1552,1990-09-24
Gilbert,9,1473,1990-09-24
Ivanisevic,10,1337,1990-09-24
Edberg,1,3195,1990-10-01
Becker,2,2665,1990-10-01
Lendl,3,2359,1990-10-01
Agassi,4,2292,1990-10-01
Gomez,5,1754,1990-10-01
Sampras,6,1718,1990-10-01
Muster,7,1625,1990-10-01
Sanchez,8,1512,1990-10-01
Mcenroe,9,1478,1990-10-01
Gilbert,10,1477,1990-10-01
Edberg,1,3314,1990-10-08
Becker,2,2945,1990-10-08
Lendl,3,2492,1990-10-08
Agassi,4,2129,1990-10-08
Sampras,5,1718,1990-10-08
Gomez,6,1698,1990-10-08
Muster,7,1625,1990-10-08
Sanchez,8,1512,1990-10-08
Mcenroe,9,1478,1990-10-08
Gilbert,10,1416,1990-10-08
Edberg,1,3436,1990-10-15
Becker,2,3121,1990-10-15
Lendl,3,2712,1990-10-15
Agassi,4,2129,1990-10-15
Sampras,5,1718,1990-10-15
Gomez,6,1698,1990-10-15
Muster,7,1625,1990-10-15
Sanchez,8,1512,1990-10-15
Gilbert,9,1416,1990-10-15
Mcenroe,10,1390,1990-10-15
Edberg,1,3384,1990-10-22
Becker,2,3121,1990-10-22
Lendl,3,2712,1990-10-22
Agassi,4,2107,1990-10-22
Sampras,5,1718,1990-10-22
Gomez,6,1680,1990-10-22
Muster,7,1632,1990-10-22
Sanchez,8,1512,1990-10-22
Mcenroe,9,1421,1990-10-22
Gilbert,10,1416,1990-10-22
Edberg,1,3600,1990-10-29
Becker,2,3453,1990-10-29
Lendl,3,2712,1990-10-29
Agassi,4,2108,1990-10-29
Sampras,5,1839,1990-10-29
Gomez,6,1680,1990-10-29
Muster,7,1632,1990-10-29
Sanchez,8,1512,1990-10-29
Gilbert,9,1479,1990-10-29
Ivanisevic,10,1456,1990-10-29
Edberg,1,3770,1990-11-05
Becker,2,3449,1990-11-05
Lendl,3,2755,1990-11-05
Agassi,4,2108,1990-11-05
Sampras,5,1864,1990-11-05
Gomez,6,1680,1990-11-05
Muster,7,1632,1990-11-05
Sanchez,8,1578,1990-11-05
Ivanisevic,9,1495,1990-11-05
Gilbert,10,1452,1990-11-05
Edberg,1,3674,1990-11-12
Becker,2,3449,1990-11-12
Lendl,3,2482,1990-11-12
Agassi,4,2048,1990-11-12
Sampras,5,1864,1990-11-12
Gomez,6,1680,1990-11-12
Muster,7,1619,1990-11-12
Sanchez,8,1578,1990-11-12
Ivanisevic,9,1514,1990-11-12
Gilbert,10,1451,1990-11-12
Edberg,1,3889,1990-11-19
Becker,2,3528,1990-11-19
Lendl,3,2581,1990-11-19
Agassi,4,2398,1990-11-19
Sampras,5,1888,1990-11-19
Gomez,6,1680,1990-11-19
Muster,7,1654,1990-11-19
Sanchez,8,1578,1990-11-19
Ivanisevic,9,1514,1990-11-19
Gilbert,10,1451,1990-11-19
Edberg,1,3889,1990-11-26
Becker,2,3528,1990-11-26
Lendl,3,2581,1990-11-26
Agassi,4,2398,1990-11-26
Sampras,5,1888,1990-11-26
Gomez,6,1680,1990-11-26
Muster,7,1654,1990-11-26
Sanchez,8,1564,1990-11-26
Ivanisevic,9,1514,1990-11-26
Gilbert,10,1451,1990-11-26
Edberg,1,3889,1990-12-03
Becker,2,3528,1990-12-03
Lendl,3,2581,1990-12-03
Agassi,4,2398,1990-12-03
Sampras,5,1888,1990-12-03
Gomez,6,1680,1990-12-03
Muster,7,1654,1990-12-03
Sanchez,8,1564,1990-12-03
Ivanisevic,9,1514,1990-12-03
Gilbert,10,1451,1990-12-03
Edberg,1,3889,1990-12-10
Becker,2,3528,1990-12-10
Lendl,3,2581,1990-12-10
Agassi,4,2398,1990-12-10
Sampras,5,1888,1990-12-10
Gomez,6,1680,1990-12-10
Muster,7,1654,1990-12-10
Sanchez,8,1564,1990-12-10
Ivanisevic,9,1514,1990-12-10
Gilbert,10,1451,1990-12-10
Edberg,1,3889,1990-12-24
Becker,2,3528,1990-12-24
Lendl,3,2581,1990-12-24
Agassi,4,2398,1990-12-24
Sampras,5,1888,1990-12-24
Gomez,6,1680,1990-12-24
Muster,7,1654,1990-12-24
Sanchez,8,1564,1990-12-24
Ivanisevic,9,1514,1990-12-24
Gilbert,10,1451,1990-12-24
Edberg,1,3889,1991-01-07
Becker,2,3528,1991-01-07
Lendl,3,2581,1991-01-07
Agassi,4,2398,1991-01-07
Sampras,5,1888,1991-01-07
Gomez,6,1680,1991-01-07
Muster,7,1551,1991-01-07
Ivanisevic,8,1514,1991-01-07
Sanchez,9,1487,1991-01-07
Gilbert,10,1451,1991-01-07
Edberg,1,3889,1991-01-14
Becker,2,3528,1991-01-14
Lendl,3,2541,1991-01-14
Agassi,4,2398,1991-01-14
Sampras,5,1855,1991-01-14
Gomez,6,1680,1991-01-14
Muster,7,1551,1991-01-14
Ivanisevic,8,1503,1991-01-14
Sanchez,9,1487,1991-01-14
Gilbert,10,1451,1991-01-14
Becker,1,3935,1991-01-28
Edberg,2,3802,1991-01-28
Lendl,3,2519,1991-01-28
Agassi,4,2398,1991-01-28
Sampras,5,1773,1991-01-28
Gomez,6,1619,1991-01-28
Ivanisevic,7,1527,1991-01-28
Muster,8,1522,1991-01-28
Sanchez,9,1487,1991-01-28
Gilbert,10,1478,1991-01-28
Becker,1,3935,1991-02-11
Edberg,2,3802,1991-02-11
Lendl,3,2353,1991-02-11
Agassi,4,2318,1991-02-11
Sampras,5,1689,1991-02-11
Gomez,6,1631,1991-02-11
Gilbert,7,1580,1991-02-11
Ivanisevic,8,1527,1991-02-11
Muster,9,1522,1991-02-11
Sanchez,10,1487,1991-02-11
Edberg,1,3853,1991-02-18
Becker,2,3836,1991-02-18
Lendl,3,2369,1991-02-18
Agassi,4,2319,1991-02-18
Sampras,5,1903,1991-02-18
Gomez,6,1631,1991-02-18
Forget,7,1592,1991-02-18
Gilbert,8,1586,1991-02-18
Muster,9,1522,1991-02-18
Sanchez,10,1487,1991-02-18
Edberg,1,3997,1991-02-25
Becker,2,3382,1991-02-25
Lendl,3,2416,1991-02-25
Agassi,4,2278,1991-02-25
Forget,5,1730,1991-02-25
Sampras,6,1597,1991-02-25
Ivanisevic,7,1552,1991-02-25
Gilbert,8,1548,1991-02-25
Muster,9,1522,1991-02-25
Sanchez,10,1493,1991-02-25
Edberg,1,3997,1991-03-04
Becker,2,3523,1991-03-04
Lendl,3,2557,1991-03-04
Agassi,4,2278,1991-03-04
Forget,5,1730,1991-03-04
Sampras,6,1597,1991-03-04
Ivanisevic,7,1552,1991-03-04
Sanchez,8,1493,1991-03-04
Muster,9,1441,1991-03-04
Gomez,10,1423,1991-03-04
Edberg,1,3846,1991-03-11
Becker,2,3407,1991-03-11
Lendl,3,2557,1991-03-11
Agassi,4,2069,1991-03-11
Forget,5,1927,1991-03-11
Sampras,6,1571,1991-03-11
Ivanisevic,7,1518,1991-03-11
Sanchez,8,1484,1991-03-11
Gomez,9,1423,1991-03-11
Gilbert,10,1412,1991-03-11
Edberg,1,3786,1991-03-25
Becker,2,3440,1991-03-25
Lendl,3,2509,1991-03-25
Forget,4,1927,1991-03-25
Agassi,5,1713,1991-03-25
Sampras,6,1540,1991-03-25
Ivanisevic,7,1516,1991-03-25
Gilbert,8,1443,1991-03-25
Courier,9,1407,1991-03-25
Svensson,10,1398,1991-03-25
Edberg,1,3786,1991-04-01
Becker,2,3440,1991-04-01
Lendl,3,2509,1991-04-01
Forget,4,1927,1991-04-01
Agassi,5,1713,1991-04-01
Sampras,6,1540,1991-04-01
Ivanisevic,7,1516,1991-04-01
Gilbert,8,1443,1991-04-01
Courier,9,1407,1991-04-01
Svensson,10,1398,1991-04-01
Edberg,1,3786,1991-04-08
Becker,2,3440,1991-04-08
Lendl,3,2509,1991-04-08
Forget,4,1927,1991-04-08
Agassi,5,1843,1991-04-08
Sampras,6,1585,1991-04-08
Ivanisevic,7,1516,1991-04-08
Courier,8,1407,1991-04-08
Chesnokov,9,1399,1991-04-08
Svensson,10,1398,1991-04-08
Edberg,1,3783,1991-04-15
Becker,2,3440,1991-04-15
Lendl,3,2624,1991-04-15
Forget,4,1927,1991-04-15
Agassi,5,1902,1991-04-15
Sampras,6,1585,1991-04-15
Courier,7,1523,1991-04-15
Ivanisevic,8,1516,1991-04-15
Chang,9,1426,1991-04-15
Svensson,10,1398,1991-04-15
Edberg,1,3783,1991-04-22
Becker,2,3440,1991-04-22
Lendl,3,2624,1991-04-22
Agassi,4,1902,1991-04-22
Forget,5,1865,1991-04-22
Sampras,6,1585,1991-04-22
Courier,7,1523,1991-04-22
Ivanisevic,8,1516,1991-04-22
Chang,9,1426,1991-04-22
Svensson,10,1398,1991-04-22
Edberg,1,3783,1991-04-29
Becker,2,3599,1991-04-29
Lendl,3,2624,1991-04-29
Agassi,4,1902,1991-04-29
Forget,5,1849,1991-04-29
Sampras,6,1585,1991-04-29
Ivanisevic,7,1534,1991-04-29
Bruguera,8,1523,1991-04-29
Courier,9,1508,1991-04-29
Chang,10,1426,1991-04-29
Edberg,1,3783,1991-05-06
Becker,2,3599,1991-05-06
Lendl,3,2696,1991-05-06
Agassi,4,1902,1991-05-06
Forget,5,1849,1991-05-06
Sampras,6,1585,1991-05-06
Ivanisevic,7,1534,1991-05-06
Bruguera,8,1525,1991-05-06
Courier,9,1496,1991-05-06
Chang,10,1426,1991-05-06
Edberg,1,3783,1991-05-13
Becker,2,3425,1991-05-13
Lendl,3,2696,1991-05-13
Agassi,4,1872,1991-05-13
Forget,5,1673,1991-05-13
Sampras,6,1613,1991-05-13
Ivanisevic,7,1581,1991-05-13
Bruguera,8,1548,1991-05-13
Courier,9,1478,1991-05-13
Chang,10,1426,1991-05-13
Edberg,1,3783,1991-05-20
Becker,2,3425,1991-05-20
Lendl,3,2696,1991-05-20
Agassi,4,1872,1991-05-20
Bruguera,5,1659,1991-05-20
Sampras,6,1613,1991-05-20
Forget,7,1589,1991-05-20
Ivanisevic,8,1537,1991-05-20
Courier,9,1478,1991-05-20
Chang,10,1426,1991-05-20
Edberg,1,3783,1991-05-27
Becker,2,3425,1991-05-27
Lendl,3,2696,1991-05-27
Agassi,4,1872,1991-05-27
Bruguera,5,1659,1991-05-27
Sampras,6,1613,1991-05-27
Forget,7,1589,1991-05-27
Ivanisevic,8,1537,1991-05-27
Courier,9,1478,1991-05-27
Chang,10,1426,1991-05-27
Edberg,1,3814,1991-06-10
Becker,2,3721,1991-06-10
Lendl,3,2696,1991-06-10
Courier,4,2070,1991-06-10
Agassi,5,1982,1991-06-10
Bruguera,6,1623,1991-06-10
Forget,7,1619,1991-06-10
Sampras,8,1613,1991-06-10
Stich,9,1581,1991-06-10
Chang,10,1467,1991-06-10
Edberg,1,3818,1991-06-17
Becker,2,3572,1991-06-17
Lendl,3,2473,1991-06-17
Courier,4,2070,1991-06-17
Agassi,5,1982,1991-06-17
Bruguera,6,1623,1991-06-17
Stich,7,1621,1991-06-17
Forget,8,1619,1991-06-17
Sampras,9,1613,1991-06-17
Chang,10,1469,1991-06-17
Edberg,1,3818,1991-06-24
Becker,2,3572,1991-06-24
Lendl,3,2473,1991-06-24
Courier,4,2070,1991-06-24
Agassi,5,1982,1991-06-24
Bruguera,6,1623,1991-06-24
Stich,7,1621,1991-06-24
Forget,8,1619,1991-06-24
Sampras,9,1596,1991-06-24
Ivanisevic,10,1532,1991-06-24
Becker,1,3658,1991-07-08
Edberg,2,3575,1991-07-08
Lendl,3,2283,1991-07-08
Stich,4,2258,1991-07-08
Courier,5,2197,1991-07-08
Agassi,6,2144,1991-07-08
Forget,7,1720,1991-07-08
Bruguera,8,1623,1991-07-08
Sampras,9,1596,1991-07-08
Chang,10,1440,1991-07-08
Becker,1,3658,1991-07-15
Edberg,2,3575,1991-07-15
Lendl,3,2283,1991-07-15
Stich,4,2258,1991-07-15
Courier,5,2181,1991-07-15
Agassi,6,2144,1991-07-15
Forget,7,1720,1991-07-15
Bruguera,8,1601,1991-07-15
Sampras,9,1596,1991-07-15
Sanchez,10,1523,1991-07-15
Becker,1,3658,1991-07-22
Edberg,2,3575,1991-07-22
Stich,3,2479,1991-07-22
Lendl,4,2283,1991-07-22
Courier,5,2181,1991-07-22
Agassi,6,2115,1991-07-22
Forget,7,1720,1991-07-22
Bruguera,8,1601,1991-07-22
Sampras,9,1596,1991-07-22
Sanchez,10,1392,1991-07-22
Becker,1,3658,1991-07-29
Edberg,2,3575,1991-07-29
Stich,3,2479,1991-07-29
Lendl,4,2407,1991-07-29
Courier,5,2301,1991-07-29
Agassi,6,2046,1991-07-29
Forget,7,1720,1991-07-29
Bruguera,8,1581,1991-07-29
Sampras,9,1474,1991-07-29
Gustafsson,10,1386,1991-07-29
Becker,1,3642,1991-08-05
Edberg,2,3575,1991-08-05
Stich,3,2479,1991-08-05
Lendl,4,2407,1991-08-05
Courier,5,2301,1991-08-05
Agassi,6,2046,1991-08-05
Forget,7,1720,1991-08-05
Sampras,8,1561,1991-08-05
Bruguera,9,1556,1991-08-05
Gustafsson,10,1462,1991-08-05
Becker,1,3786,1991-08-12
Edberg,2,3353,1991-08-12
Stich,3,2479,1991-08-12
Lendl,4,2422,1991-08-12
Courier,5,2375,1991-08-12
Agassi,6,2052,1991-08-12
Forget,7,2026,1991-08-12
Sampras,8,1814,1991-08-12
Bruguera,9,1556,1991-08-12
Gustafsson,10,1521,1991-08-12
Becker,1,3728,1991-08-19
Edberg,2,3353,1991-08-19
Stich,3,2479,1991-08-19
Courier,4,2463,1991-08-19
Lendl,5,2422,1991-08-19
Sampras,6,2083,1991-08-19
Forget,7,2026,1991-08-19
Agassi,8,2023,1991-08-19
Bruguera,9,1556,1991-08-19
Gustafsson,10,1521,1991-08-19
Becker,1,3728,1991-08-26
Edberg,2,3310,1991-08-26
Lendl,3,2575,1991-08-26
Stich,4,2573,1991-08-26
Courier,5,2463,1991-08-26
Sampras,6,2075,1991-08-26
Agassi,7,2023,1991-08-26
Forget,8,1946,1991-08-26
Bruguera,9,1575,1991-08-26
Gustafsson,10,1521,1991-08-26
Edberg,1,3778,1991-09-09
Becker,2,3501,1991-09-09
Courier,3,2885,1991-09-09
Lendl,4,2789,1991-09-09
Stich,5,2666,1991-09-09
Forget,6,1946,1991-09-09
Sampras,7,1650,1991-09-09
Agassi,8,1622,1991-09-09
Bruguera,9,1578,1991-09-09
Novacek,10,1523,1991-09-09
Edberg,1,3778,1991-09-16
Becker,2,3501,1991-09-16
Courier,3,2885,1991-09-16
Lendl,4,2789,1991-09-16
Stich,5,2666,1991-09-16
Forget,6,1917,1991-09-16
Sampras,7,1650,1991-09-16
Agassi,8,1622,1991-09-16
Novacek,9,1523,1991-09-16
Bruguera,10,1521,1991-09-16
Edberg,1,3778,1991-09-23
Becker,2,3501,1991-09-23
Courier,3,2885,1991-09-23
Lendl,4,2789,1991-09-23
Stich,5,2666,1991-09-23
Forget,6,1917,1991-09-23
Sampras,7,1650,1991-09-23
Agassi,8,1622,1991-09-23
Novacek,9,1523,1991-09-23
Bruguera,10,1521,1991-09-23
Edberg,1,3778,1991-09-30
Becker,2,3501,1991-09-30
Courier,3,2885,1991-09-30
Lendl,4,2789,1991-09-30
Stich,5,2666,1991-09-30
Forget,6,1917,1991-09-30
Sampras,7,1650,1991-09-30
Agassi,8,1622,1991-09-30
Novacek,9,1544,1991-09-30
Bruguera,10,1521,1991-09-30
Edberg,1,3833,1991-10-07
Becker,2,3208,1991-10-07
Courier,3,2885,1991-10-07
Lendl,4,2696,1991-10-07
Stich,5,2666,1991-10-07
Forget,6,2021,1991-10-07
Sampras,7,1777,1991-10-07
Agassi,8,1688,1991-10-07
Bruguera,9,1624,1991-10-07
Novacek,10,1544,1991-10-07
Edberg,1,3980,1991-10-14
Becker,2,3069,1991-10-14
Courier,3,2885,1991-10-14
Stich,4,2666,1991-10-14
Lendl,5,2497,1991-10-14
Forget,6,2021,1991-10-14
Sampras,7,1777,1991-10-14
Agassi,8,1749,1991-10-14
Bruguera,9,1624,1991-10-14
Novacek,10,1544,1991-10-14
Edberg,1,3980,1991-10-21
Becker,2,3069,1991-10-21
Courier,3,2885,1991-10-21
Stich,4,2766,1991-10-21
Lendl,5,2497,1991-10-21
Forget,6,2021,1991-10-21
Sampras,7,1942,1991-10-21
Agassi,8,1749,1991-10-21
Bruguera,9,1684,1991-10-21
Novacek,10,1544,1991-10-21
Edberg,1,3952,1991-10-28
Becker,2,3093,1991-10-28
Courier,3,3028,1991-10-28
Stich,4,2766,1991-10-28
Lendl,5,2497,1991-10-28
Forget,6,2021,1991-10-28
Sampras,7,1863,1991-10-28
Agassi,8,1749,1991-10-28
Bruguera,9,1684,1991-10-28
Novacek,10,1544,1991-10-28
Edberg,1,3679,1991-11-04
Courier,2,3010,1991-11-04
Becker,3,2852,1991-11-04
Stich,4,2675,1991-11-04
Lendl,5,2485,1991-11-04
Forget,6,2367,1991-11-04
Sampras,7,2122,1991-11-04
Agassi,8,1749,1991-11-04
Korda,9,1600,1991-11-04
